Numer uchwały,Beneficjent,Koszt,Nazwa projektu,Data uchwały
50,Stowarzyszeniu Erasmus Student Network UJ Kraków,2800.0,"""Wyjazd Szkoleniowo Integracyjny z ESN UJ Kraków""",21 marca 2022
51,WRSS WP,1396.44,"""Terapezja""",28 marca 2022
52,WRSS WCh,2690.0,"""Zdjęcia Wydzia łowej Rady Samorządu Studentów Wydziału Chemii UJ""",28 marca 2022
53,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,700.0,"""Wyjście do Teatru im. Juliusza Słowackiego w ramach integracji MISH i SMP""",28 marca 2022
54,WRSS WP,5513.0,"""Identyfikacja wizual na przestrzeni studenckiej na Wydziale Polonistyki (etap I)""",28 marca 2022
55,WRSS WZiKS,4001.55,"""By le do lata""",28 marca 2022
56,Stowarzyszeniu Erasmus Student Network UJ Kraków,2486.69,"""Wyjazd zagraniczny w celu udziału w międzynarodowym zjeździe Erasmus Student Network Erasmus Generation Meeting (EGM) Portugal 2022""",28 marca 2022
57,WRSS WH,2800.0,"""Historyczne mazurki SSWH UJ""",4 kwietnia 2022
58,WRSS WZiKS,32610.0,"""WZiKS owe Przebiśniegi""",4 kwietnia 2022
59,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,15623.25,"""Za kręć się na Majówkę 3""",11 kwietnia 2022
60,WRSS WZiKS,714.0,"""Skosztuj kultury Współczesnej sztuki apogeum zwiedź z nami muzeum """,11 kwietnia 2022
61,WRSS Filologia,7944.0,"""Złote Belfry 2022 """,11 kwietnia 2022
62,WRSS Filologia,2421.86,"""H d rel lez tureckie święto wiosny""",11 kwietnia 2022
63,WRSS WPiA,21924.83,"""Bal Półmetkowy Wydziału Prawa i Administracji UJ 2022""",11 kwietnia 2022
64,AKT Rozdroże,2900.0,"""Majówka 2022 Rajd do źródeł Wisły""",11 kwietnia 2022
65,Stowarzyszeniu All In UJ,1734.0,"""Historie obrazem i dźwiękiem Warsztaty filmowe z All In UJ""",11 kwietnia 2022
68,Zespołowi Informacji i Promocji Samorządu Studentów UJ,300.0,"""Nagrody na Konkurs z okazji Dnia Dawcy Szpiku""",25 kwietnia 2022
69,"Radzie Mieszkańców DS ""Nawojka""",8411.4,"""Dni Nawojki i Żaczka""",25 kwietnia 2022
70,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,15107.03,"""Promocja Juwe naliowej Gry Miejskiej 2022""",25 kwietnia 2022
71,WRSS Filologia,670.0,"""135 metrów pod ziemią z WRSS Wydziału Filologicznego UJ""",25 kwietnia 2022
72,WRSS Filologia,2900.0,"""Teatralny maj""",25 kwietnia 2022
